wt,vs,am,mpg_log,disp_log,hp_log,drat_log,qsec_log,gear_4,gear_5,carb_2,carb_3,carb_4,carb_6,carb_8,cyl_6,cyl_8
-0.6267389938645026,0,1,3.091042453358316,-0.36379140752920464,-0.38816864325048306,0.6177945843196009,-0.7918184318602549,1,0,0,0,1,0,0,1,0
-0.35107670319097234,0,1,3.091042453358316,-0.36379140752920464,-0.38816864325048306,0.6177945843196009,-0.43925629663696497,1,0,0,0,1,0,0,1,0
-0.9510475711274798,1,1,3.169685580677429,-1.0414299189711238,-0.7508704451734354,0.5278369731267297,0.5050583975741004,1,0,0,0,0,0,0,0,0
0.01647301770706798,1,0,3.109060958860994,0.462154116745827,-0.38816864325048306,-0.9884722926803269,0.9680071759863835,0,0,0,0,0,0,0,1,0
0.25970445065430076,0,0,2.9806186357439426,1.0390187700124904,0.6175663111337087,-0.8392693473494709,-0.43925629663696497,0,0,1,0,0,0,0,0,1
0.28132502247183255,1,0,2.9496883350525844,0.2253744911627333,-0.4887328174226786,-1.7048531669756073,1.3862430450146714,0,0,0,0,0,0,0,1,0
0.4002381674682573,0,0,2.72785282839839,1.0390187700124904,1.3481555390579572,-0.713370675543475,-1.1955940214768044,0,0,0,0,1,0,0,0,1
-0.010552697064846664,1,0,3.2347491740244907,-0.513581993169633,-1.623962197586035,0.23361097060143093,1.269856288123789,1,0,1,0,0,0,0,0,0
-0.05379384069991029,1,0,3.169685580677429,-0.5844033359239695,-0.7049349309691455,0.6535208667268485,2.2426289516621805,1,0,1,0,0,0,0,0,0
0.25970445065430076,1,0,3.005682604407159,-0.28365978230814026,-0.14652507760241884,0.6535208667268485,0.3271055932536497,1,0,0,0,1,0,0,1,0
0.25970445065430076,1,0,2.9338568698359038,-0.28365978230814026,-0.14652507760241884,0.6535208667268485,0.6690018028761691,1,0,0,0,1,0,0,1,0
0.9407524629065526,0,0,2.856470206220483,0.5776263899640204,0.6786867316532572,-1.0099957150249599,-0.20620334920616848,0,0,0,1,0,0,0,0,1
0.5732027420085118,0,0,2.9069010598473755,0.5776263899640204,0.6786867316532572,-1.0099957150249599,-0.08546987844538928,0,0,0,1,0,0,0,0,1
0.6272541715523411,0,0,2.785011242238338,0.5776263899640204,0.6786867316532572,-1.0099957150249599,0.1521505173228203,0,0,0,1,0,0,0,0,1
2.1116415553997587,0,0,2.4336133554004498,1.5084629280615303,0.9609734223082387,-1.3170047152240938,0.1403888129437762,0,0,0,0,1,0,0,0,1
2.1116415553997587,0,0,2.4336133554004498,1.4638193656050733,1.064398297471996,-1.1621569821815079,0.04584655709254271,0,0,0,0,1,0,0,0,1
2.1116415553997587,0,0,2.7536607123542622,1.3867653599290908,1.210886610608546,-0.6718028716528242,-0.19407109676296203,0,0,0,0,1,0,0,0,1
-1.0807710020326702,1,1,3.5085558999826545,-1.585335533001632,-1.4896517188559315,0.9342101070360981,0.9843861629491717,1,0,0,0,0,0,0,0,0
-1.7131727276954754,1,1,3.4468078929142076,-1.6519913956613728,-2.001080383514404,2.2911649457633043,0.4536861447158451,1,0,1,0,0,0,0,0,0
-1.4753464377026257,1,1,3.5514117529536073,-1.7594382934256236,-1.5224622068291738,1.172654040098147,1.216549565070749,1,0,0,0,0,0,0,0,0
-0.7942984254503743,1,0,3.1135153092103742,-0.8585482732963677,-0.659946608589455,0.2522921069586324,1.2751729924734985,0,0,0,0,0,0,0,0,0
0.346186737924428,0,0,2.803360380906535,0.8241396938170575,0.28329684816502637,-1.7048531669756073,-0.5326065527070913,0,0,1,0,0,0,0,0,1
0.25429930769991793,0,0,2.785011242238338,0.7461716016818758,0.28329684816502637,-0.8392693473494709,-0.26706310350635953,0,0,1,0,0,0,0,0,1
0.6921158870049365,0,0,2.6602595372658615,0.9902154755136104,1.3481555390579572,0.3080979593034532,-1.4844598720786892,0,0,0,0,1,0,0,0,1
0.6975210299593199,0,0,3.005682604407159,1.2215784982587004,0.6175663111337087,-0.9884722926803269,-0.4206795183989799,0,0,1,0,0,0,0,0,1
-1.3672435786149666,1,1,3.342861804649192,-1.5788084757125875,-1.4896517188559315,0.9342101070360981,0.6690018028761691,1,0,0,0,0,0,0,0,0
-1.1456327174852656,0,1,3.295836866004329,-0.8556814689523854,-0.7977938952486684,1.5185891971992358,-0.6393554867648757,0,1,1,0,0,0,0,0,0
-1.8234376439648876,1,1,3.4468078929142076,-1.2602555996418734,-0.3299823594455645,0.38195768170806266,-0.5138739725100999,0,1,1,0,0,0,0,0,0
-0.03217326888237848,0,1,2.8213788864092133,0.9951579625975082,1.5104819194284969,1.172654040098147,-2.121589124404463,0,1,0,0,1,0,0,0,1
-0.46458470523301426,0,1,3.0301337002713233,-0.5336937680998538,0.6175663111337087,0.10171690312479416,-1.4233782032582118,0,1,0,0,0,1,0,1,0
0.4002381674682573,0,1,2.772588722239781,0.7289989771302068,1.826135299021169,-0.05148856787892096,-2.0497706307473798,0,1,0,0,0,0,1,0,1
-0.4537744193242486,1,1,3.109060958860994,-0.8456847448891542,-0.40791408419856723,0.9858537706926733,0.49936202546608816,1,0,1,0,0,0,0,0,0
